 1570,1570,1580,1570,1590,1570,1580,1580,1550,1570,1560,1570,1560,1560,1610,1590,1570,1580,1580,1570,1570,1590,1560,1580,1560,1570,1620,1610,1560,1560,
 1550,1550,1570,1550,1570,1550,1570,1560,1540,1550,1540,1560,1550,1550,1600,1580,1560,1560,1570,1560,1550,1580,1550,1570,1550,1590,1670,1660,1560,1560,
 1550,1560,1570,1560,1580,1550,1570,1570,1540,1550,1550,1560,1550,1550,1600,1580,1560,1570,1570,1560,1560,1580,1550,1570,1560,1590,1680,1670,1570,1570,
 1550,1550,1570,1560,1570,1550,1570,1570,1540,1550,1550,1560,1550,1550,1600,1580,1560,1570,1570,1560,1560,1580,1550,1570,1560,1580,1650,1640,1560,1560,
 1560,1570,1590,1580,1600,1580,1590,1590,1570,1580,1570,1590,1580,1580,1630,1610,1590,1590,1600,1580,1580,1610,1570,1590,1560,1490,1460,1470,1520,1570,
 1570,1580,1590,1580,1600,1580,1600,1600,1570,1590,1580,1590,1580,1580,1630,1620,1590,1600,1600,1590,1590,1610,1580,1600,1580,1600,1660,1650,1580,1590,
 1570,1580,1590,1580,1600,1580,1600,1590,1570,1580,1580,1590,1580,1580,1630,1620,1590,1600,1600,1590,1580,1610,1580,1600,1570,1550,1560,1570,1560,1590,
 1570,1580,1590,1580,1600,1580,1590,1590,1570,1580,1580,1590,1580,1580,1630,1620,1590,1600,1600,1590,1580,1610,1580,1600,1570,1520,1550,1540,1550,1590,
 1560,1570,1590,1580,1600,1580,1590,1590,1570,1580,1580,1590,1580,1580,1630,1620,1590,1590,1600,1590,1580,1610,1570,1590,1560,1470,1410,1420,1520,1570,
 1570,1580,1600,1580,1600,1580,1600,1600,1570,1590,1580,1590,1590,1580,1640,1620,1600,1600,1610,1600,1590,1620,1580,1600,1580,1570,1590,1590,1570,1590,
 1570,1580,1590,1580,1600,1580,1590,1590,1570,1590,1580,1590,1580,1580,1630,1620,1590,1600,1600,1590,1590,1620,1580,1600,1580,1570,1610,1600,1570,1590,
 1540,1550,1560,1550,1570,1550,1560,1560,1540,1550,1550,1560,1550,1550,1600,1590,1560,1570,1580,1570,1560,1590,1550,1570,1550,1580,1660,1640,1560,1560,
 1540,1550,1560,1550,1570,1540,1560,1560,1540,1550,1540,1560,1550,1550,1600,1580,1560,1570,1580,1560,1560,1580,1550,1560,1540,1540,1590,1580,1540,1550,
 1540,1550,1570,1550,1570,1550,1560,1560,1540,1550,1550,1560,1550,1550,1610,1590,1570,1570,1580,1570,1560,1590,1550,1570,1560,1580,1670,1650,1560,1560,
 1570,1570,1590,1570,1590,1560,1580,1580,1550,1560,1560,1570,1560,1560,1610,1590,1570,1580,1590,1580,1580,1600,1570,1590,1580,1590,1660,1660,1580,1580,
